"","comm.rank..","name","Class","Object","Field","Default","Minimum","Maximum","Distribution","Type","Group","Constraint","p20","p80"
"97",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:10_Fan","Pressure Rise",622,435.4,808.6,"uniform","float",4,"",510.04,733.96
"98",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:10_Fan","Motor Efficiency",0.825,0.5775,0.999,"uniform","float",3,"",0.6618,0.9147
"99",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:11_Fan","Fan Efficiency",0.53625,0.375375,0.697125,"uniform","float",3,"",0.439725,0.632775
"100",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:11_Fan","Pressure Rise",622,435.4,808.6,"uniform","float",4,"",510.04,733.96
"101",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:11_Fan","Motor Efficiency",0.825,0.5775,0.999,"uniform","float",3,"",0.6618,0.9147
"102",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:12_Fan","Fan Efficiency",0.53625,0.375375,0.697125,"uniform","float",3,"",0.439725,0.632775
"103",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:12_Fan","Pressure Rise",622,435.4,808.6,"uniform","float",4,"",510.04,733.96
"104",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:12_Fan","Motor Efficiency",0.825,0.775,0.999,"uniform","float",3,"",0.8198,0.9542
"105",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:1_Fan","Fan Efficiency",0.53625,0.375375,0.697125,"uniform","float",3,"",0.439725,0.632775
"106",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:1_Fan","Pressure Rise",622,435.4,808.6,"uniform","float",4,"",510.04,733.96
"107",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:1_Fan","Motor Efficiency",0.825,0.5775,0.999,"uniform","float",3,"",0.6618,0.9147
"108",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:2_Fan","Fan Efficiency",0.546,0.3822,0.7098,"uniform","float",3,"",0.44772,0.64428
"109",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:2_Fan","Pressure Rise",622,435.4,808.6,"uniform","float",4,"",510.04,733.96
"110",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:2_Fan","Motor Efficiency",0.84,0.588,0.999,"uniform","float",3,"",0.6702,0.9168
"111",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:3_Fan","Fan Efficiency",0.53625,0.375375,0.697125,"uniform","float",3,"",0.439725,0.632775
"112",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:3_Fan","Pressure Rise",622,435.4,808.6,"uniform","float",4,"",510.04,733.96
"113",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:3_Fan","Motor Efficiency",0.825,0.5775,0.999,"uniform","float",3,"",0.6618,0.9147
"114",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:4_Fan","Fan Efficiency",0.53625,0.375375,0.697125,"uniform","float",3,"",0.439725,0.632775
"115",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:4_Fan","Pressure Rise",622,435.4,808.6,"uniform","float",4,"",510.04,733.96
"116",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:4_Fan","Motor Efficiency",0.825,0.5775,0.999,"uniform","float",3,"",0.6618,0.9147
